56.22734,X,0.0220202,t
55.82664,X,0.0428523,t
55.60595,X,0.0569326,t
55.12429,X,0.0778297,t
54.86345,X,0.0922129,t
54.30205,X,0.1130688,t
53.68823,X,0.1273221,t
53.0226,X,0.1483319,t
52.3059,X,0.1769917,t
51.13653,X,0.2051776,t
50.722,X,0.2191796,t
49.85642,X,0.240151,t
49.40557,X,0.2542275,t
48.46835,X,0.275331,t
47.98218,X,0.289375,t
46.9754,X,0.310804,t
46.45499,X,0.3249592,t
45.38086,X,0.3458533,t
44.26314,X,0.3674032,t
43.10297,X,0.3884468,t
42.50731,X,0.4025253,t
41.28564,X,0.4235617,t
40.02451,X,0.4376307,t
38.72522,X,0.4586351,t
38.06167,X,0.4727689,t
36.70765,X,0.4936858,t
36.01754,X,0.5081118,t
34.61199,X,0.5290743,t
33.89694,X,0.5431727,t
32.44323,X,0.5640604,t
31.70496,X,0.5783932,t
30.2066,X,0.5994397,t
29.44692,X,0.6135501,t
27.90761,X,0.6346152,t
26.34309,X,0.6487045,t
24.75515,X,0.6697985,t
23.95293,X,0.6907154,t
22.33318,X,0.7116423,t
20.69452,X,0.7258694,t
19.86868,X,0.7467803,t
18.20518,X,0.7611866,t
16.5275,X,0.7823974,t
15.68395,X,0.79667,t
13.98868,X,0.8176454,t
13.13744,X,0.8317693,t
11.429,X,0.8526652,t
10.5723,X,0.8667245,t
8.855193,X,0.8877791,t
7.995287,X,0.9017996,t
6.274033,X,0.9227978,t
4.552536,X,0.9369403,t
3.692326,X,0.9580283,t
1.974235,X,0.9721609,t
0.2609229,X,0.9931493,t
358.5544,X,1.014285,t
357.7043,X,1.035328,t
356.0116,X,1.0494,t
354.3305,X,1.070322,t
353.495,X,1.084958,t
351.835,X,1.105972,t
351.0111,X,1.120027,t
349.3764,X,1.140964,t
348.5661,X,1.155168,t
346.9608,X,1.176,t
346.1662,X,1.190102,t
344.5942,X,1.212607,t
343.0465,X,1.225163,t
342.2823,X,1.246109,t
340.7742,X,1.260226,t
339.2944,X,1.281146,t
338.5656,X,1.295339,t
337.1311,X,1.316258,t
335.7286,X,1.337245,t
334.3595,X,1.358938,t
333.6879,X,1.372978,t
332.3713,X,1.393989,t
331.7266,X,1.408199,t
330.4653,X,1.429957,t
329.8489,X,1.44396,t
328.6455,X,1.46567,t
327.4819,X,1.47977,t
326.9153,X,1.500713,t
325.8134,X,1.514847,t
324.7538,X,1.53571,t
324.2401,X,1.549911,t
323.2454,X,1.570763,t
322.7646,X,1.584861,t
321.8366,X,1.605791,t
321.3895,X,1.620425,t
320.5297,X,1.641829,t
319.7162,X,1.662841,t
318.9494,X,1.68392,t
318.5837,X,1.698117,t
317.8879,X,1.719045,t
317.558,X,1.733184,t
316.9343,X,1.755489,t
316.6406,X,1.768174,t
316.0897,X,1.789064,t
315.5876,X,1.803249,t
315.1347,X,1.824167,t
314.9266,X,1.838772,t
314.5477,X,1.859798,t
314.3767,X,1.873929,t
314.072,X,1.894772,t
313.9382,X,1.908927,t
313.7079,X,1.929921,t
313.6113,X,1.944,t
313.4553,X,1.964999,t
313.3487,X,1.986393,t
313.2915,X,2.007445,t
